feature,n_levels,min_rate,max_rate,spread
age,4,0.09006433166547534,0.7166193181818182,0.6265549865163429
driving_experience,4,0.016238159675236806,0.6282828282828283,0.6120446686075915
income,4,0.13206919494344643,0.6473807662236122,0.5153115712801657
vehicle_ownership,2,0.1963919639196392,0.5819981149858624,0.3856061510662232
vehicle_year,2,0.10459662288930581,0.40468364831553,0.3000870254262242
children,2,0.2382242601083785,0.4768392370572207,0.2386149769488422
married,2,0.19281991893456862,0.4306260575296108,0.23780613859504218
education,3,0.22948438634713145,0.45983787767133383,0.23035349132420238
gender,2,0.25901732462368643,0.3682092555331992,0.10919193090951279
vehicle_type,2,0.30791788856304986,0.3135605946838865,0.005642706120836616
