missing_in,tested_against,chi2,p_value
credit_score,vehicle_ownership,5.485359860627608,0.019176372123650413
credit_score,vehicle_year,4.2655896156829165,0.038891750095513954
credit_score,age,6.73363895652773,0.08089002140698295
credit_score,income,5.232714789759465,0.15552849729716434
annual_mileage,vehicle_year,1.4479698275196489,0.22885399039189372
annual_mileage,age,3.553509715600036,0.313888116113254
credit_score,education,2.2080050527341704,0.33154142118848784
credit_score,married,0.8907767351731875,0.3452669068361398
annual_mileage,postal_code,3.187170062665685,0.363657688116228
annual_mileage,education,2.017966921836026,0.36458941064559236
credit_score,gender,0.8192778334960527,0.365391394962175
annual_mileage,driving_experience,3.077150814521556,0.3798823236336618
annual_mileage,vehicle_ownership,0.5896524876755985,0.4425535310436959
annual_mileage,gender,0.4218917836192593,0.5159945873241144
credit_score,driving_experience,2.213047052073296,0.529383083026008
annual_mileage,children,0.3169732233521705,0.5734323298979296
annual_mileage,income,1.5752858664062437,0.665006475076581
credit_score,postal_code,1.362638827541172,0.7143152824620878
annual_mileage,vehicle_type,0.07724862326697465,0.781061207624481
credit_score,children,0.030532974732329257,0.8612863931393415
annual_mileage,married,0.015740727466873168,0.9001577626508295
credit_score,vehicle_type,0.0,1.0
