feature,scheme,n_params,accuracy,roc_auc,precision,recall,f1,brier,tn,fp,fn,tp,predicted_positive_rate,baseline,lift_over_baseline,beats_baseline,aic,converged,separation
age,linear,1,0.7786666666666666,0.7675914067341458,0.7379310344827587,0.4553191489361702,0.5631578947368421,0.16636311646182442,954,76,256,214,0.19333333333333333,0.6867142857142857,0.0919523809523809,True,7126.287363058065,True,False
gender,linear,1,0.6866666666666666,0.5532741169179921,0.0,0.0,0.0,0.21312945404577688,1030,0,470,0,0.0,0.6867142857142857,-4.7619047619074095e-05,False,8610.54533369879,True,False
driving_experience,linear,1,0.788,0.8127483990910969,0.6490196078431373,0.7042553191489361,0.6755102040816326,0.1518899790926607,851,179,139,331,0.34,0.6867142857142857,0.10128571428571431,True,6503.871162774565,True,False
education,linear,1,0.6866666666666666,0.6330861392274324,0.0,0.0,0.0,0.2035357101798075,1030,0,470,0,0.0,0.6867142857142857,-4.7619047619074095e-05,False,8484.819810284955,True,False
income,linear,1,0.7546666666666667,0.7602871307581078,0.6931818181818182,0.3893617021276596,0.4986376021798365,0.17133560133962836,949,81,287,183,0.176,0.6867142857142857,0.06795238095238099,True,7453.880594796071,True,False
credit_score,linear,1,0.712,0.6894711836397438,0.6021505376344086,0.23829787234042554,0.34146341463414637,0.19398826654803805,956,74,358,112,0.124,0.6867142857142857,0.025285714285714245,True,7987.57679800985,True,False
vehicle_ownership,linear,1,0.7446666666666667,0.6972423053088206,0.5968819599109132,0.5702127659574469,0.5832426550598476,0.18088640749313722,849,181,202,268,0.29933333333333334,0.6867142857142857,0.05795238095238098,True,7721.117127688258,True,False
vehicle_year,linear,1,0.6866666666666666,0.6473662466432555,0.0,0.0,0.0,0.19586833419311442,1030,0,470,0,0.0,0.6867142857142857,-4.7619047619074095e-05,False,8003.211964751745,True,False
married,linear,1,0.6866666666666666,0.6496075191076223,0.0,0.0,0.0,0.19867978016561452,1030,0,470,0,0.0,0.6867142857142857,-4.7619047619074095e-05,False,8238.211758304838,True,False
children,linear,1,0.6866666666666666,0.6123115058872134,0.0,0.0,0.0,0.20417327229570242,1030,0,470,0,0.0,0.6867142857142857,-4.7619047619074095e-05,False,8320.33194120479,True,False
postal_code,linear,3,0.7006666666666667,0.564782069820285,1.0,0.04468085106382979,0.0855397148676171,0.2069007479589077,1030,0,449,21,0.014,0.6867142857142857,0.013952380952380938,True,,False,True
annual_mileage,linear,1,0.692,0.5959305928527164,0.6538461538461539,0.036170212765957444,0.06854838709677419,0.20889449870794632,1021,9,453,17,0.017333333333333333,0.6867142857142857,0.005285714285714227,True,8475.157254565636,True,False
vehicle_type,linear,1,0.6866666666666666,0.4944639537285685,0.0,0.0,0.0,0.2151837016127387,1030,0,470,0,0.0,0.6867142857142857,-4.7619047619074095e-05,False,8707.81401736809,True,False
speeding_violations,linear,1,0.6866666666666666,0.7318312332162777,0.0,0.0,0.0,0.18512555049584165,1030,0,470,0,0.0,0.6867142857142857,-4.7619047619074095e-05,False,7809.274919250226,True,False
duis,linear,1,0.6866666666666666,0.5980055773600494,0.0,0.0,0.0,0.20443125231973377,1030,0,470,0,0.0,0.6867142857142857,-4.7619047619074095e-05,False,8411.35582059048,True,False
past_accidents,linear,1,0.6866666666666666,0.7257942573848379,0.0,0.0,0.0,0.18302245429516384,1030,0,470,0,0.0,0.6867142857142857,-4.7619047619074095e-05,False,7716.743247776782,True,False
age,dummy,3,0.7786666666666666,0.7675914067341458,0.7379310344827587,0.4553191489361702,0.5631578947368421,0.16421692235186294,954,76,256,214,0.19333333333333333,0.6867142857142857,0.0919523809523809,True,7072.782502637276,True,False
gender,dummy,1,0.6866666666666666,0.5532741169179921,0.0,0.0,0.0,0.21312945404577688,1030,0,470,0,0.0,0.6867142857142857,-4.7619047619074095e-05,False,8610.54533369879,True,False
driving_experience,dummy,3,0.788,0.8127483990910969,0.6490196078431373,0.7042553191489361,0.6755102040816326,0.15196678481045633,851,179,139,331,0.34,0.6867142857142857,0.10128571428571431,True,6503.174460254797,True,False
education,dummy,2,0.6866666666666666,0.6330861392274324,0.0,0.0,0.0,0.2033290405848177,1030,0,470,0,0.0,0.6867142857142857,-4.7619047619074095e-05,False,8486.012430963152,True,False
income,dummy,3,0.7546666666666667,0.7585767403429043,0.6931818181818182,0.3893617021276596,0.4986376021798365,0.17135721063306042,949,81,287,183,0.176,0.6867142857142857,0.06795238095238099,True,7456.358647690684,True,False
credit_score,dummy,1,0.712,0.6894711836397438,0.6021505376344086,0.23829787234042554,0.34146341463414637,0.19398826654803805,956,74,358,112,0.124,0.6867142857142857,0.025285714285714245,True,7987.57679800985,True,False
vehicle_ownership,dummy,1,0.7446666666666667,0.6972423053088206,0.5968819599109132,0.5702127659574469,0.5832426550598476,0.18088640749313722,849,181,202,268,0.29933333333333334,0.6867142857142857,0.05795238095238098,True,7721.117127688258,True,False
vehicle_year,dummy,1,0.6866666666666666,0.6473662466432555,0.0,0.0,0.0,0.19586833419311442,1030,0,470,0,0.0,0.6867142857142857,-4.7619047619074095e-05,False,8003.211964751745,True,False
married,dummy,1,0.6866666666666666,0.6496075191076223,0.0,0.0,0.0,0.19867978016561452,1030,0,470,0,0.0,0.6867142857142857,-4.7619047619074095e-05,False,8238.211758304838,True,False
children,dummy,1,0.6866666666666666,0.6123115058872134,0.0,0.0,0.0,0.20417327229570242,1030,0,470,0,0.0,0.6867142857142857,-4.7619047619074095e-05,False,8320.33194120479,True,False
postal_code,dummy,3,0.7006666666666667,0.564782069820285,1.0,0.04468085106382979,0.0855397148676171,0.2069007479589077,1030,0,449,21,0.014,0.6867142857142857,0.013952380952380938,True,,False,True
annual_mileage,dummy,1,0.692,0.5959305928527164,0.6538461538461539,0.036170212765957444,0.06854838709677419,0.20889449870794632,1021,9,453,17,0.017333333333333333,0.6867142857142857,0.005285714285714227,True,8475.157254565636,True,False
vehicle_type,dummy,1,0.6866666666666666,0.4944639537285685,0.0,0.0,0.0,0.2151837016127387,1030,0,470,0,0.0,0.6867142857142857,-4.7619047619074095e-05,False,8707.81401736809,True,False
speeding_violations,dummy,1,0.6866666666666666,0.7318312332162777,0.0,0.0,0.0,0.18512555049584165,1030,0,470,0,0.0,0.6867142857142857,-4.7619047619074095e-05,False,7809.274919250226,True,False
duis,dummy,1,0.6866666666666666,0.5980055773600494,0.0,0.0,0.0,0.20443125231973377,1030,0,470,0,0.0,0.6867142857142857,-4.7619047619074095e-05,False,8411.35582059048,True,False
past_accidents,dummy,1,0.6866666666666666,0.7257942573848379,0.0,0.0,0.0,0.18302245429516384,1030,0,470,0,0.0,0.6867142857142857,-4.7619047619074095e-05,False,7716.743247776782,True,False
